name,email
1&1,null
101domain,abuse@101domain.com
1api.net,abuse@1api.net
a2hosting,abuse@a2hosting.com
Akamai,null
Amazon,abuse@amazonaws.com
apnic.net,null
Aptoid,null
Aruba IT,abuse@staff.aruba.it
Atak Domain,null
Beget.ru,abuse@beget.ru
Bitly,abuse@bitly.com
Blogspot,null
Bluehost,abuse@bluehost.com
Cert.br,cert@cert.br
Cloudflare,abuse@cloudflare.com
Cloudways,null
cloudwm,null
Cogent,null
ColoCrossing,null
Contabo,abuse@contabo.de
Cosmotown,abuse@cosmotown.com
crazydomains,abuse@crazydomains.com
CSC global,domainabuse@cscglobal.com
Cuttly,null
DDos_Guard,null
Deltahost,abuse@deltahost.com.ua
Directnic,null
Discord,support@discord.com
DNS Webhost,null
Digital Ocean,abuse@digitalocean.com
downapk,downapk.net@gmail.com
DreamHost,null
Dynadot,abuse@dynadot.com
EIG,null
Enom,ABUSE@enom.com
eUKhost,null
Facebook,null
Fasthosts,null
Fastly,abuse@fastly.com
FileTransfer.io,null
Free.org,null
getflywheel,	help@getflywheel.com
Github,"
support@githubsupport.com"
Glitch.me,support@glitch.com
GoDaddy,abuse@godaddy.com
Google,null
GreenGeeks,null
GTHost,null
Hetzner,abuse@hetzner.com
hm-changed,hm-changed@vnnic.vn
Host Monster,null
Host Sailor,null
Host1Plus,null
hostdepartment.com,null
HostDime,null
HostFav,null
HostGator,null
Hostinger,abuse@hostinger.com
Hostopia AU,null
HostPapa,null
Hostwinds,null
icore,null
idola net id ,null
InMotion Hosting,abuse@inmotionhosting.com
Instagram,null
instra.com (Technexus),null
Interserver,abusencc@interserver.net
IO Flood,null
iPage,null
ipxo.com,abuse@ipxo.com
Joker,abuse@joker.com
Justhost,null
Kirino co,abuse@kirino.co
Leapswitch,null
LeaseWeb,null
Linode,null
Liquid Web,abuse@liquidweb.com
living-bots.net,abuse@living-bots.net
Markmonitor,abusecomplaints@markmonitor.com
MediaFire,null
MEGA.nz,null
Microsoft,null
Name.com,null
Namecheap,abuse@namecheap.com
Namesilo,abuse@namesilo.com
Netfox.ru,null
Netlify,fraud@netlify.com
nexserv.de,null
nic.cl,null
Nic.ru,abuse@nic.ru
NiceNIC.net,abuse@nicenic.net
noip,abuse@noip.com
Openprovider,null
orangewebsite,abuse@orangewebsite.com
OVH,abuse@ovh.net
Own Registrar,abuse@ownregistrar.com
Paypal,mweideman@paypal.com
Pixelme,null
Protocol Labs,abuse@protocol.ai
ptisp.pt,abuse@ptisp.pt
Public Domain Registry,null
Reg.ru,abuse@reg.ru
Register LY,abuse@register.ly
Registrar.EU,abuse@registrar.eu
Render,abuse@render.com
rentaserv.su,abuse@rentaserv.su
resellercamp,null
roeth-und-beck.de,abuse@roeth-und-beck.de
rs-media.ru,null
Sav.com,null
Serverion,null
shinjiru.com.my,abuse@shinjiru.com.my
SiteGround,null
snthostings,abuse@snthostings.com
Source DNS,abuse@sourcedns.com
Steprimo,null
Switch.fr,null
Telegram,abuse@telegram.org
Tencent,qcloud_net_duty@tencent.com
Tiktok,copyright@tiktok.com
Tipzor Media,abuse@tipzor-media.com
truehost.cloud (Kenic),null
Tucows,compliance@tucows.com
Twitter,net-abuse@twitter.com
UnifiedLayer,abuse@unifiedlayer.com
Upperlink,abuse@upperlink.ng
Vdsina . ru,abuse@vdsina.ru
Web.com,abuse@web.com
Webnic,support@webnic.cc
whogohost,null
Wordpress,null
Yahoo,null
Yandex,null
yeezyhost,abuse@yeezyhost.net
Youtube,copyright@youtube.com
Zare,abuse@zare.com
N/A,N/A
